keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'earthquake rescue',en,Mitigation,#9e3215,#d64118,2,0.4253506361646441
'earthquake damage',en,Impacts,#a89216,#87830f,3,0.4134622975330887
'strong earthquake',en,Hazard,#4287f5,#638ed4,2,0.3197566264980543
'earthquake death',en,Impacts,#a89216,#87830f,2,0.3164196417148749
'earthquake tektonic',en,Causes,#679e2c,#477515,1,0.3162052859374999
'earthquake',en,Hazard,#4287f5,#638ed4,3,0.3122704676269971
'heavy earthquake',en,Hazard,#4287f5,#638ed4,1,0.29919028281637
'earthquake cleanup',en,Mitigation,#9e3215,#9e3215,1,0.2534205116889079
'earthquake epicenter',en,Hazard,#4287f5,#3b4a63,2,0.2453757366781597
'earthquake victims',en,Impacts,#a89216,#87830f,1,0.2348456390048254
'earthquake solidarity',en,Mitigation,#9e3215,#802d16,1,0.2153516475575916
'earthquake evacuation',en,Mitigation,#9e3215,#802d16,1,0.2146704518301321
